title,description,issue,volume,series,publisher,date,creators,format,value
N/A,N/A,N/A,1,N/A,N/A,2015-08-08,N/A,,0
N/A,N/A,N/A,1,N/A,N/A,2014-04-10,N/A,,0
"""Y'know, After A Long Hard Day...""",N/A,1,1,'Mazing Man,DC Comics,2014-02-23,Bob Rozakis | Stephen DeStefano | Karl Kesel,,0
Easy Money / Occupations,N/A,2,1,'Mazing Man,DC Comics,2014-02-23,Stephen DeStefano | Bob Rozakis | Karl Kesel,,0
Doing What Married People Do,N/A,3,1,'Mazing Man,DC Comics,2014-02-23,Bob Rozakis | Stephen DeStefano | Karl Kesel,,0
The Male Machine: Parts 1 And 2,N/A,4,1,'Mazing Man,DC Comics,2014-02-23,Bob Rozakis | Stephen DeStefano | Karl Kesel,,0
Writer's Block,N/A,5,1,'Mazing Man,DC Comics,2014-02-23,Bob Rozakis | Pablo Marcos | Kurt Schaffenberger,,0
Take Me Out To The Ballgame,N/A,6,1,'Mazing Man,DC Comics,2014-02-23,Bob Rozakis | Stephen DeStefano | Bob Smith,,0
Secret Wars: Warzones - In Which Wicked Somethings This Way Comes,Stephanie Hans Cover,1A,1,1602: Witch Hunter Angela,Marvel Comics,2015-10-03,Kieron Gillen | Marguerite Bennett | Stephanie Hans,,0
Secret Wars: Warzones - In Which All the World's a Stage and The Guardians Overthrow the Players,Stephanie Hans Cover,2A,1,1602: Witch Hunter Angela,Marvel Comics,2015-10-03,Kieron Gillen | Marguerite Bennett | Stephanie Hans,,0
Secret Wars: Warzones - In Which Hearts Rend And Heads Roll,Stephanie Hans Regular Cover,3A,1,1602: Witch Hunter Angela,Marvel Comics,2015-11-20,Kieron Gillen | Marguerite Bennett | Frazer Irving,,0
Secret Wars: Warzones - In Which A Witch Will Beget A Very Excellent Piece Of Villainy,N/A,4,1,1602: Witch Hunter Angela,Marvel Comics,2015-11-20,Kieron Gillen | Marguerite Bennett | Kody Chamberlain,,0
Secret Wars - Chapter One: Tyranny In Timely,Alex Maleev Cover,1A,1,1872,Marvel Comics,2015-12-13,Gerry Duggan | Nik Virella,,0
Secret Wars,N/A,2A,1,1872,Marvel Comics,2015-12-13,Gerry Duggan | Manny Mederos | Nik Virella,,0
Secret Wars,N/A,3A,1,1872,Marvel Comics,2015-12-13,Gerry Duggan | Nik Virella,,0
Secret Wars,N/A,4A,1,1872,Marvel Comics,2015-12-13,Gerry Duggan | Nik Virella,,0
N/A,N/A,1A,1,2099 Alpha,Marvel Comics,2019-11-23,Nicholas Spencer | Viktor Bogdanović,,0
Thirty Mile Mall,N/A,2,1,2099 Unlimited,Marvel Comics,2014-02-23,Bob Fingerman | Gerard Jones | Evan Skolnick,,0
Artists Respond,N/A,1,1,9-11,DC Comics,2014-02-23,John K. Snyder III | Alan Moore | Terry Anderson,,0
The World's Finest Comic Book Writers And Artists Tell Stories To Remember,1st Print,2,1,9-11,DC Comics,2014-02-23,Darwyn Cooke | Brian Azzarello | Paul Levitz,,0
Gotham By Gaslight,First Printing,1,1,A Tale of the Batman: Gotham by Gaslight,DC Comics,2014-02-23,Robert Bloch | Brian Augustyn | Mike Mignola,,0
The Beast + The Amazing Spider-Man / Captain America + Quentin Quire,Regular Kaare Andrews Cover,4A,1,A+X,Marvel Comics,2014-02-23,Jason Latour | Kaare Andrews | David López,,0
Iron Fist: Doop / Loki: Mister Sinister,Regular David Lafuente Cover,5A,1,A+X,Marvel Comics,2014-02-23,Kieron Gillen | Kathryn Immonen | David LaFuente,,0
